,nreactions,mean,deviation,cost,vectors
0,6,2.044975271813884,1.019950175200708,0.9514499999999999,"[[0, 0, [2, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]], [0, 1, [2, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1]], [0, 2, [1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0]], [0, 3, [2, 1, 2, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0]], [0, 4, [2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], [0, 5, [3, 2, 2, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]]]"
1,5,1.9557308285178765,1.501704673491023,0.89656,"[[1, 6, [1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]], [1, 7, [1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]], [1, 8, [2, 1, 2, 1, 1, 1, 1, 1, 1, 0, 0, 0]], [1, 9, [2, 1, 2, 1, 1, 1, 1, 1, 1, 0, 0, 0]], [1, 10, [2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]]]"
2,5,0.8351034487860732,0.7632838461710074,0.9726800000000001,"[[2, 11, [1, 1, 1, 1, 0]], [2, 12, [2, 1, 1, 0, 0]], [2, 13, [2, 1, 1, 0, 0]], [2, 14, [2, 1, 1, 0, 0]], [2, 15, [1, 1, 1, 1, 1]]]"
3,5,1.478568290407826,0.8329680729778776,0.95164,"[[3, 16, [2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1]], [3, 17, [1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]], [3, 18, [2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]], [3, 19, [1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0]], [3, 20, [2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]]]"
4,5,3.871599006872442,2.3088354488755414,0.8581799999999999,"[[4, 21, [1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]], [4, 22, [2, 0, 1, 0, 2, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]], [4, 23, [2, 0, 1, 1, 1, 0, 2, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]], [4, 24, [2, 2, 2, 1, 2, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]], [4, 25, [2, 5, 2, 3, 0, 1, 0, 0, 0, 0, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]]]"
5,8,1.5235506632736588,0.8426407161052653,0.96405,"[[5, 26, [0, 1, 1, 1, 0, 1, 0, 0]], [5, 27, [2, 1, 1, 0, 0, 0, 0, 0]], [5, 28, [2, 1, 1, 0, 0, 0, 0, 0]], [5, 29, [0, 1, 1, 1, 1, 1, 0, 0]], [5, 30, [1, 1, 1, 1, 1, 0, 0, 1]], [5, 31, [1, 1, 1, 1, 1, 0, 1, 0]], [5, 32, [2, 1, 1, 1, 1, 0, 0, 0]], [5, 33, [2, 1, 1, 1, 1, 0, 0, 0]]]"
6,5,2.75293290830479,1.5301504508944632,0.91354,"[[6, 34, [0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]], [6, 35, [2, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]], [6, 36, [2, 2, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]], [6, 37, [2, 2, 1, 0, 2, 1, 0, 0, 1, 0, 2, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]], [6, 38, [2, 2, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]]]"
7,12,1.2727865974989194,1.1326041033851597,0.9564666666666669,"[[7, 39, [1, 1, 1, 0, 0, 0, 0, 0, 0, 1]], [7, 40, [2, 1, 0, 1, 0, 0, 0, 0, 0, 0]], [7, 41, [2, 1, 1, 1, 1, 1, 0, 0, 0, 0]], [7, 42, [3, 1, 1, 1, 1, 1, 0, 0, 0, 0]], [7, 43, [2, 1, 1, 1, 1, 1, 0, 0, 1, 0]], [7, 44, [3, 1, 1, 1, 1, 1, 0, 0, 0, 0]], [7, 45, [3, 1, 1, 1, 1, 1, 0, 0, 0, 0]], [7, 46, [3, 1, 1, 1, 1, 1, 0, 0, 0, 0]], [7, 47, [3, 1, 1, 1, 1, 1, 0, 0, 0, 0]], [7, 48, [3, 1, 1, 1, 1, 1, 0, 0, 0, 0]], [7, 49, [3, 3, 1, 1, 1, 1, 1, 1, 0, 0]], [7, 50, [3, 1, 1, 1, 1, 1, 0, 0, 0, 0]]]"
8,11,0.7872179044171448,1.0164548848564556,0.9547818181818184,"[[8, 51, [1, 1, 1, 0, 0, 0, 0, 1]], [8, 52, [2, 1, 1, 1, 1, 1, 0, 0]], [8, 53, [3, 1, 1, 1, 1, 1, 0, 0]], [8, 54, [3, 1, 1, 1, 1, 1, 0, 0]], [8, 55, [3, 1, 1, 1, 1, 1, 0, 0]], [8, 56, [3, 1, 1, 1, 1, 1, 0, 0]], [8, 57, [3, 1, 1, 1, 1, 1, 0, 0]], [8, 58, [3, 1, 1, 1, 1, 1, 0, 0]], [8, 59, [3, 1, 1, 1, 1, 1, 0, 0]], [8, 60, [3, 1, 1, 1, 1, 1, 0, 0]], [8, 61, [2, 1, 1, 1, 1, 1, 1, 0]]]"
9,5,1.2171323550133364,0.8709700513678356,0.97036,"[[9, 62, [2, 1, 1, 0, 0, 0, 0]], [9, 63, [2, 1, 1, 0, 0, 0, 0]], [9, 64, [2, 1, 0, 1, 0, 0, 0]], [9, 65, [2, 1, 1, 0, 0, 0, 1]], [9, 66, [1, 1, 0, 1, 1, 1, 0]]]"
