"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"PSA";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX ApKa";"CX BpKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA Lipinski";"HBD Lipinski";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL368324";"";"";"Small molecule";"0";"333.89";"14";"53";"3.59";"11.41";"4";"0";"0";"1";"N";"0.79";"None";"7.43";"3.84";"3.52";"2";"MOL";"-1";"22";"3";"0";"0";"333.1066";"NEUTRAL";"C17H20ClN3S";"CN1CCN([C@@H]2Cn3cccc3Sc3ccc(Cl)cc32)CC1"
"CHEMBL369367";"";"";"Small molecule";"0";"376.32";"7";"9";"3.92";"11.41";"4";"0";"0";"1";"N";"0.75";"None";"7.38";"3.73";"3.44";"2";"MOL";"-1";"22";"3";"0";"0";"375.0405";"NEUTRAL";"C17H18BrN3S";"CN1CCN(C2=Cn3cccc3Sc3ccc(Br)cc32)CC1"
"CHEMBL367045";"";"";"Small molecule";"0";"297.43";"17";"51";"3.16";"11.41";"4";"0";"0";"1";"N";"0.80";"None";"7.43";"2.96";"2.64";"2";"MOL";"-1";"21";"3";"0";"0";"297.1300";"NEUTRAL";"C17H19N3S";"CN1CCN(C2=Cn3cccc3Sc3ccccc32)CC1"
"CHEMBL35743";"";"";"Small molecule";"0";"378.50";"6";"15";"3.16";"48.47";"5";"1";"0";"4";"N";"0.76";"12.32";"7.74";"3.70";"3.20";"3";"MOL";"-1";"27";"5";"1";"0";"378.1514";"NEUTRAL";"C21H22N4OS";"O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)ccc2N1"
"CHEMBL118889";"";"";"Small molecule";"0";"347.92";"7";"11";"3.98";"11.41";"4";"0";"0";"2";"N";"0.81";"None";"7.66";"4.19";"3.74";"2";"MOL";"-1";"23";"3";"0";"0";"347.1223";"NEUTRAL";"C18H22ClN3S";"CCN1CCN(C2Cn3cccc3Sc3ccc(Cl)cc32)CC1"
"CHEMBL35040";"";"";"Small molecule";"0";"396.49";"6";"15";"3.29";"48.47";"5";"1";"0";"4";"N";"0.74";"12.19";"7.19";"3.84";"3.63";"3";"MOL";"-1";"28";"5";"1";"0";"396.1420";"NEUTRAL";"C21H21FN4OS";"O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(F)cc2N1"
"CHEMBL333955";"";"";"Small molecule";"0";"392.37";"7";"11";"4.09";"11.41";"4";"0";"0";"2";"N";"0.76";"None";"7.65";"4.36";"3.91";"2";"MOL";"-1";"23";"3";"0";"0";"391.0718";"NEUTRAL";"C18H22BrN3S";"CCN1CCN(C2Cn3cccc3Sc3ccc(Br)cc32)CC1"
"CHEMBL35057";"TIOSPIRONE";"BMY-13859|TIOSPIRONE";"Small molecule";"0";"440.61";"10";"52";"3.91";"56.75";"6";"0";"0";"6";"N";"0.50";"None";"7.73";"3.68";"3.19";"2";"MOL";"0";"31";"6";"0";"0";"440.2246";"NEUTRAL";"C24H32N4O2S";"O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1"
"CHEMBL332600";"";"";"Small molecule";"0";"317.43";"7";"11";"3.08";"11.41";"4";"0";"0";"1";"N";"0.80";"None";"7.43";"3.37";"3.06";"2";"MOL";"-1";"22";"3";"0";"0";"317.1362";"NEUTRAL";"C17H20FN3S";"CN1CCN(C2Cn3cccc3Sc3ccc(F)cc32)CC1"
"CHEMBL708";"ZIPRASIDONE";"CP-88059|Geodon|ZIPRASIDONE|Ziprasidone";"Small molecule";"4";"412.95";"62";"255";"3.81";"48.47";"5";"1";"0";"4";"N";"0.71";"12.21";"7.09";"4.30";"4.13";"3";"MOL";"0";"28";"5";"1";"0";"412.1125";"NEUTRAL";"C21H21ClN4OS";"O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1"
"CHEMBL366679";"";"";"Small molecule";"0";"315.42";"7";"9";"3.29";"11.41";"4";"0";"0";"1";"N";"0.80";"None";"7.35";"3.10";"2.83";"2";"MOL";"-1";"22";"3";"0";"0";"315.1205";"NEUTRAL";"C17H18FN3S";"CN1CCN(C2=Cn3cccc3Sc3ccc(F)cc32)CC1"
